fish_id,group,became_sensitized,state_4h,state_20h,truth_state_4h,truth_state_20h,risk_max,in_test,pred_sensitized@all,correct
F001,sham,0,0,0,0,0,0.0003756980836312075,False,0,1
F002,sham,0,1,1,1,1,1.0,False,1,0
F003,sham,0,0,0,0,0,0.0011900074619513009,False,0,1
F004,sham,0,0,0,0,0,0.0006226634730491172,False,0,1
F005,sham,0,0,0,0,0,0.005829519675004581,False,0,1
F006,sham,0,0,0,0,0,4.2111857831389206e-05,False,0,1
F007,sham,0,0,0,0,0,0.005238271424434345,False,0,1
F008,sham,0,0,0,0,0,0.2278563020546899,False,0,1
F009,sham,0,0,0,0,0,1.0930637085951961e-05,True,0,1
F010,sham,0,0,1,0,0,0.5563316929930502,False,0,1
F011,sham,0,1,1,1,1,1.0,False,1,0
F012,sham,1,1,1,1,1,0.9999999950149352,True,1,1
F013,sham,0,0,0,0,0,1.2554783270308444e-07,False,0,1
F014,sham,0,0,0,0,0,0.00010560774669299909,True,0,1
F015,sham,0,0,0,0,0,2.843425352197575e-06,False,0,1
F016,sham,0,0,0,0,0,0.0026899555651537723,True,0,1
F017,sham,1,1,2,1,2,1.0000000000000007,False,1,1
F018,sham,0,0,0,0,0,4.216876526702984e-07,True,0,1
F019,sham,0,0,0,0,0,0.00011269957597342503,False,0,1
F020,sham,0,0,0,0,0,0.003191717278870872,True,0,1
F021,sham,0,0,1,0,1,0.9999999996229665,False,1,0
F022,sham,0,0,0,0,0,8.917972355719032e-07,False,0,1
F023,sham,0,0,0,0,0,5.7623598248628174e-05,True,0,1
F024,sham,0,0,0,0,0,0.0015579875532244045,False,0,1
F025,sham,0,0,0,0,0,8.563417318390312e-07,False,0,1
F026,sham,0,0,0,0,0,0.003209229702324753,True,0,1
F027,sham,0,0,0,0,0,0.0002055895330182225,False,0,1
F028,sham,0,0,0,0,0,0.00017264057791203298,False,0,1
F029,sham,0,1,1,1,1,0.9999999997869438,False,1,0
F030,sham,0,0,0,0,0,0.6991727853723365,True,0,1
F031,sham,0,0,0,0,0,1.106312175110166e-06,False,0,1
F032,sham,0,0,1,0,1,0.999434435351956,True,1,0
F033,se_core,1,1,1,1,1,0.9999999957873467,False,1,1
F034,se_core,0,0,0,0,0,0.004499273984930189,False,0,1
F035,se_core,0,0,0,0,0,0.0024281210197619747,False,0,1
F036,se_core,0,0,0,0,0,0.0025875514531317006,False,0,1
F037,se_core,0,0,0,0,0,1.668421952344826e-05,False,0,1
F038,se_core,0,0,0,0,0,0.0020444776722429846,False,0,1
F039,se_core,1,0,1,0,1,0.9999988518050263,False,1,1
F040,se_core,1,0,0,0,0,9.170895796433252e-05,False,0,0
F041,se_core,1,0,0,0,0,4.345241529794124e-06,False,0,0
F042,se_core,0,0,0,0,0,5.208171509424769e-06,False,0,1
F043,se_core,1,0,1,0,1,0.9999327035987566,False,1,1
F044,se_core,1,1,1,1,1,0.9999999999997774,True,1,1
F045,se_core,0,0,0,0,0,9.002415614599346e-09,True,0,1
F046,se_core,0,0,1,1,1,0.9882227165786082,True,1,0
F047,se_core,0,0,0,0,0,0.0009502278165176352,False,0,1
F048,se_core,0,1,2,1,2,1.0,False,1,0
F049,se_core,0,0,0,0,0,2.664715277158534e-07,True,0,1
F050,se_core,0,0,0,0,0,4.468869945584008e-12,False,0,1
F051,se_core,0,0,0,0,1,0.46796566476807017,False,0,1
F052,se_core,1,1,1,1,1,0.9999999999999787,False,1,1
F053,se_core,0,0,0,0,1,0.16186253509944762,False,0,1
F054,se_core,0,0,0,0,0,0.06614909675014408,True,0,1
F055,se_core,1,0,1,0,1,0.9994223902612774,False,1,1
F056,se_core,0,0,0,0,0,0.00031543068029218143,False,0,1
